source,imageId,blogSlug,blogOrder,blogCover,blogTitle,blogCouple,blogVenue,blogWeddingDate,blogExcerpt,venue,category,filename,aiTags,aiAlt,aiCaption,aiReviewed,aiTextReviewed,aiModel,aiUpdatedAt,aiRating,aiEmotion,aiStoryMoment,aiLighting,aiWeather,aiColours,aiPeople
gallery,MKB000001,,,,,,,,,Ballygally,couple portraits,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-351_500.webp,ballygally wedding|couple portraits|bride and groom|coastal portrait|rocky shoreline|romantic embrace|soft natural light|happy couple|wedding day|outdoor portraits|northern ireland wedding,Bride and groom embracing on the rocky shoreline at Ballygally in soft natural light,"A relaxed coastal portrait at Ballygally, with the couple wrapped up together on the County Antrim shoreline.",,,gpt-5.5,2026-07-05T08:22:34.281Z,,,,,,,
gallery,MKB000002,,,,,,,,,Ballygally,couple portraits,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-433_500.webp,ballygally wedding|couple portraits|bride and groom|garden portrait|outdoor wedding|soft natural light|romantic mood|intimate moment|wedding bouquet|veil portrait|lush greenery|castle wedding,"Bride and groom in soft natural light during a garden portrait at Ballygally, County Antrim","A quiet couple portrait at Ballygally, with soft light, lush greenery and a relaxed moment between the bride and groom.",,,gpt-5.5,2026-07-05T08:22:59.601Z,,,,,,,
gallery,MKB000003,,,,,,,,,Ballygally,couple portraits,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-437_500.webp,ballygally wedding|couple portraits|bride and groom|stone arch|garden backdrop|natural light|romantic mood|intimate portrait|wedding veil|groom boutonniere|castle wedding|newlyweds,"Newlyweds beneath a stone arch at Ballygally, with a soft garden backdrop and natural light for relaxed couple portraits","A quiet couple portrait at Ballygally in County Antrim, framed by the stone arch, soft greenery and natural light.",,,gpt-5.5,2026-07-05T08:23:24.826Z,,,,,,,
gallery,MKB000004,,,,,,,,,Ballygally,details and decor,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-14_500.webp,ballygally wedding|wedding dress|bridesmaid dresses|bridal details|wedding shoes|getting ready|bridal suite|floral decor|window light|elegant decor|calm mood|pre-ceremony,"Wedding dress, bridesmaid dresses and shoes laid out in soft window light at Ballygally, County Antrim","A calm pre-ceremony scene at Ballygally, with bridal details gathered in natural window light before the day begins.",,,gpt-5.5,2026-07-05T08:23:52.652Z,,,,,,,
gallery,MKB000005,,,,,,,,,Ballygally,details and decor,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-461_500.webp,ballygally wedding|reception details|table decor|wedding breakfast|floral centerpiece|place settings|candles|summer drinks|soft light|romantic decor|guest seating|elegant reception,Soft candlelit reception table decor with flowers and place settings at a Ballygally wedding in County Antrim,"Candlelight, florals and neatly set tables bring a warm, relaxed feel to this Ballygally wedding reception in County Antrim.",,,gpt-5.5,2026-07-05T08:24:18.965Z,,,,,,,
gallery,MKB000006,,,,,,,,,Ballygally,family and bridal party,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-392_500.webp,ballygally wedding|bridal party|family portraits|bride and groom|bridesmaid|groomsman|garden portrait|castle grounds|overcast light|romantic|formal group|wedding flowers,"Bride, groom and bridal party gathered for portraits in the castle grounds at Ballygally, County Antrim","A relaxed bridal party portrait in the grounds at Ballygally, with soft overcast light and a natural County Antrim wedding feel.",,,gpt-5.5,2026-07-05T08:28:22.450Z,,,,,,,
gallery,MKB000007,,,,,,,,,Ballygally,family and bridal party,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-420_500.webp,ballygally wedding|group portrait|wedding guests|family photos|bridal party|bride and groom|outdoor wedding|coastal backdrop|overcast light|celebration|cheering guests|wedding reception,"Bride, groom and bridal party celebrating outdoors at Ballygally, County Antrim, with a soft coastal backdrop","A relaxed bridal party moment at Ballygally in County Antrim, with guests cheering together in soft overcast coastal light.",,,gpt-5.5,2026-07-05T08:28:48.691Z,,,,,,,
gallery,MKB000008,,,,,,,,,Ballygally,family and bridal party,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-424_500.webp,ballygally wedding|bride|bridesmaids|bridal party|bouquets|outdoor portraits|coastal backdrop|garden setting|soft light|joyful|pastel dresses|wedding portraits,"Bride and bridesmaids holding bouquets in soft light during outdoor portraits at Ballygally, County Antrim","A relaxed bridal party portrait in the gardens at Ballygally, with pastel dresses, bouquets and the County Antrim coast nearby.",,,gpt-5.5,2026-07-05T08:29:15.415Z,,,,,,,
gallery,MKB000009,,,,,,,,,Ballygally,getting ready,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-53_500.webp,ballygally|getting ready|bride|bridesmaids|bridal party|robes|gift exchange|morning prep|indoor|natural light|relaxed|joyful,Bride and bridesmaids in robes sharing a relaxed gift exchange during morning prep at Ballygally in County Antrim,"A joyful getting ready moment at Ballygally, with the bridal party gathered in soft natural light for a relaxed gift exchange.",,,gpt-5.5,2026-07-05T08:29:41.337Z,,,,,,,
gallery,MKB000010,,,,,,,,,Ballygally,getting ready,MKB_Photography-Northern-ireland-wedding-photography-northern-ireland-wedding-photographer-ballygalley-castle-wedding-photography-full res-67_500.webp,ballygally|getting ready|bride|wedding card|bridal prep|morning details|soft light|intimate moment|emotional|wedding morning|close up,"Bride reading a wedding card during getting ready at Ballygally, County Antrim, in soft morning light","A quiet wedding morning moment at Ballygally, with the bride taking in a card during bridal prep.",,,gpt-5.5,2026-07-05T08:30:06.720Z,,,,,,,
